                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77519,                 1.5111,                 1.1258,                0.00336,                      1,                  0.995,                0.75865,                 0.8987,                  2.781,                 1.0723,               0.000376,               0.000376,               0.000376
                     36,                0.85857,                 1.2067,                0.99736,                0.00336,                      1,                  0.995,                0.75865,                 0.8987,                  2.781,                 1.0723,             0.00038128,             0.00038128,             0.00038128
                     37,                0.94087,                 1.5014,                 1.1548,                0.00335,                      1,                  0.995,                0.75865,                0.92199,                 2.7014,                 1.1122,             0.00038624,             0.00038624,             0.00038624
                     38,                0.88608,                 1.3561,                  1.099,                0.00335,                      1,                  0.995,                0.75865,                0.92199,                 2.7014,                 1.1122,             0.00039086,             0.00039086,             0.00039086
                     39,                0.87733,                 1.4341,                 1.1208,                0.00384,                      1,                  0.995,                0.73367,                0.95144,                 2.5891,                 1.1343,             0.00039515,             0.00039515,             0.00039515
                     40,                0.73158,                 1.1175,                0.99987,                0.00384,                      1,                  0.995,                0.73367,                0.95144,                 2.5891,                 1.1343,             0.00039911,             0.00039911,             0.00039911
                     41,                0.75746,                 1.1888,                 1.0836,                0.67723,                   0.75,                0.91167,                0.67107,                 1.1073,                 2.5441,                 1.3094,             0.00040275,             0.00040275,             0.00040275
                     42,                0.98599,                 1.3609,                 1.0944,                0.67723,                   0.75,                0.91167,                0.67107,                 1.1073,                 2.5441,                 1.3094,             0.00040605,             0.00040605,             0.00040605
                     43,                0.85716,                 1.2171,                  1.074,                0.70735,                   0.75,                0.91167,                0.62131,                  1.268,                 2.3422,                 1.4277,             0.00040902,             0.00040902,             0.00040902
                     44,                0.69867,                 1.1132,                0.92724,                0.70735,                   0.75,                0.91167,                0.62131,                  1.268,                 2.3422,                 1.4277,             0.00041166,             0.00041166,             0.00041166
                     45,                0.75941,                 1.2062,                  1.015,                 0.9427,                 0.9889,                  0.995,                0.67131,                 1.3091,                 2.1591,                 1.4463,             0.00041398,             0.00041398,             0.00041398
                     46,                0.77791,                 1.3971,                 1.0909,                 0.9427,                 0.9889,                  0.995,                0.67131,                 1.3091,                 2.1591,                 1.4463,             0.00041596,             0.00041596,             0.00041596
                     47,                0.74846,                 1.1275,                 1.0055,                0.94231,                0.96469,                  0.995,                0.73346,                 1.0729,                 2.1038,                 1.2053,             0.00041761,             0.00041761,             0.00041761
                     48,                0.77952,                 1.2769,                 1.0524,                0.94231,                0.96469,                  0.995,                0.73346,                 1.0729,                 2.1038,                 1.2053,             0.00041893,             0.00041893,             0.00041893
                     49,                0.65513,                 1.3296,                 1.0574,                0.88012,                0.92918,                  0.995,                0.84533,                0.73151,                 2.1523,                 1.0144,             0.00041992,             0.00041992,             0.00041992
                     50,                0.77066,                 1.4768,                 1.1541,                0.88012,                0.92918,                  0.995,                0.84533,                0.73151,                 2.1523,                 1.0144,             0.00042059,             0.00042059,             0.00042059
                     51,                0.76248,                 1.1553,                 1.0238,                0.85378,                0.88553,                  0.995,                0.87031,                0.75683,                 2.2105,                0.99828,             0.00042092,             0.00042092,             0.00042092
